"hdic_resblock_id","rent_type","n","mean_price"
1111027374265,1,3,102.52525252525
1111027374265,2,4,253.113095238095
1111027374266,1,1,130.20833333333
1111027374267,1,1,116.07142857143
1111027374267,2,3,345.666666666667
1111027374270,1,4,98.3694968553475
1111027374270,2,2,199.16666666667
1111027374271,1,1,146.61654135338
1111027374272,0,14,132.294550689239
1111027374272,1,33,135.896472825865
1111027374272,2,7,286.64794927295
1111027374273,0,4,392.134774279528
1111027374273,1,8,119.25099291953
1111027374274,0,5,124.711491471286
1111027374274,1,11,121.153355807045
1111027374274,2,8,303.26375534188
1111027374275,0,10,125.262536168708
1111027374275,1,22,143.786165285702
1111027374281,1,2,120.6338028169
1111027374281,2,4,323.424107142855
1111027374284,2,6,126.793706293705
1111027374286,1,6,95.8093024015133
1111027374287,0,2,156.419898594555
1111027374287,1,1,122.44897959184
1111027374290,0,1,62.68656716418
1111027374291,1,3,72.73184734887
1111027374291,2,5,233.186080586082
1111027374292,0,4,63.6097049018375
1111027374292,1,13,64.7826134602223
1111027374294,1,1,147.54098360656
1111027374295,1,3,79.5068027210867
1111027374296,0,3,75.62321937322
1111027374296,1,5,83.406317592834
1111027374298,1,3,79.58376332989
1111027374298,2,21,199.49992130982
1111027374299,0,1,61.29032258065
1111027374300,0,1,78.02197802198
1111027374300,1,6,85.5474177528867
1111027374300,2,2,208.154761904765
1111027374301,1,5,50.374894295932
1111027374301,2,1,110.55555555556
1111027374302,0,4,49.964201326585
1111027374302,1,4,49.941386847335
1111027374302,2,1,157.5
1111027374303,0,3,55.7361718674033
1111027374303,1,8,67.64994554679
1111027374308,0,6,119.375205249195
1111027374308,1,19,129.048094641996
1111027374309,1,1,65.09433962264
1111027374309,2,3,227.035353535353
1111027374310,1,1,63.52941176471
1111027374311,0,1,97.91666666667
1111027374312,0,2,99.3125
1111027374312,1,4,112.956257771925
1111027374312,2,3,225.329768270947
1111027374314,0,1,53.33333333333
1111027374314,1,8,60.482865534645
1111027374314,2,13,187.18595172943
1111027374315,0,3,163.772940870337
1111027374315,1,16,189.119540268675
1111027374316,1,2,80.26845637584
1111027374316,2,13,244.808842866536
