hdic_city_id,hdic_district_id,hdic_bizcircle_id,hdic_resblock_id,frame_bedroom_num,rent_type,decoration,appid,price_trans,price_listing,price_trans_per_area,price_listing_per_area,sign_date,appc_date,diff_days,pt
110000,23008618,18335627,1.11103E+12,3,2,3,500,3570,2930,324.5454545,266.3636364,2018/3/3,2017/8/1,214,2.01803E+13
110000,23008617,611100573,1.11103E+12,0,2,3,500,2830,2690,257.2727273,244.5454545,2018/3/8,2017/7/31,220,2.01803E+13
110000,23008625,611100365,1.11103E+12,2,1,3,500,3590,3590,28.49206349,28.49206349,2018/1/27,2017/7/21,190,2.01803E+13
110000,23008611,611100308,1.11103E+12,2,1,3,500,3600,3600,26.08695652,26.08695652,2018/2/10,2017/7/31,194,2.01803E+13
110000,23008613,18335726,1.11103E+12,1,1,3,500,5190,5190,78.63636364,78.63636364,2018/1/25,2017/7/31,178,2.01803E+13
110000,23008626,611100342,1.11103E+12,1,1,3,500,6390,6390,155.8536585,155.8536585,2018/2/3,2018/2/3,0,2.01803E+13
110000,23008617,18335686,1.11103E+12,2,1,3,500,5690,5690,113.8,113.8,2018/3/2,2017/7/31,214,2.01803E+13
110000,23008617,18335689,1.11103E+12,3,2,3,500,2360,2360,196.6666667,196.6666667,2018/3/6,2017/8/1,217,2.01803E+13
110000,23008618,611100601,1.11103E+12,1,1,3,500,5700,5700,123.9130435,123.9130435,2018/3/4,2017/8/5,211,2.01803E+13
110000,23008626,18335655,1.11103E+12,2,2,3,500,2990,3260,299,326,2018/3/4,2017/7/25,222,2.01803E+13
110000,23008613,18335710,1.11103E+12,2,1,3,500,6260,6260,109.8245614,109.8245614,2018/1/7,2017/7/27,164,2.01803E+13
110000,23008614,611100338,1.11104E+12,2,1,3,500,6790,6790,106.09375,106.09375,2018/2/9,2017/7/19,205,2.01803E+13
110000,23008618,611100355,1.11103E+12,1,1,3,500,6390,6390,1,1,2018/1/31,2017/8/5,179,2.01803E+13
110000,23008613,611100324,1.11103E+12,2,1,3,500,6920,6920,119.3103448,119.3103448,2018/1/24,2017/7/20,188,2.01803E+13
110000,23008618,611100537,1.11103E+12,0,2,3,500,2190,2190,168.4615385,168.4615385,2018/3/5,2017/5/2,307,2.01803E+13
110000,23008613,18335737,1.11103E+12,2,1,3,500,6090,6090,99.83606557,99.83606557,2018/2/9,2017/8/1,192,2.01803E+13
110000,23008613,18335715,1.11103E+12,1,1,3,500,5330,5330,148.0555556,148.0555556,2018/2/24,2017/1/16,404,2.01803E+13
110000,23008617,611100573,1.11103E+12,2,1,3,500,6573,6260,82.1625,78.25,2018/2/22,2017/8/4,202,2.01803E+13
110000,23008623,18335696,1.11103E+12,0,2,3,500,2990,2990,230,230,2018/3/8,2017/8/4,216,2.01803E+13
110000,23008613,18335706,1.11103E+12,1,1,3,500,5830,5830,102.2807018,102.2807018,2018/1/11,2017/4/30,256,2.01803E+13
110000,23008626,18335669,1.11103E+12,1,1,3,500,3790,3790,140.3703704,140.3703704,2018/3/1,2017/7/2,242,2.01803E+13
110000,23008626,18335670,1.11103E+12,2,1,3,500,5660,5390,102.9090909,98,2018/1/8,2017/7/8,184,2.01803E+13
110000,23008626,611100359,1.11103E+12,2,1,3,500,6760,6760,135.2,135.2,2018/1/29,2017/8/8,174,2.01803E+13
110000,23008617,611100431,1.11103E+12,2,1,3,500,5130,5130,91.60714286,91.60714286,2018/2/25,2017/8/8,201,2.01803E+13
110000,23008617,18335682,1.11103E+12,1,1,3,500,5590,5590,118.9361702,118.9361702,2018/2/24,2017/8/5,203,2.01803E+13
110000,23008618,611100398,1.12002E+15,3,2,3,500,1690,1690,187.7777778,187.7777778,2018/3/3,2017/8/14,201,2.01803E+13
110000,23008624,611100360,1.11103E+12,2,1,3,500,3890,3890,54.78873239,54.78873239,2018/1/20,2017/8/18,155,2.01803E+13
110000,23008623,18335694,1.11103E+12,1,1,3,500,4230,4230,105.75,105.75,2018/1/21,2017/6/24,211,2.01803E+13
110000,23008613,611100315,1.11103E+12,1,1,3,500,6870,6860,156.1363636,155.9090909,2018/2/21,2017/7/20,216,2.01803E+13
110000,23008618,611100601,1.11103E+12,2,1,3,500,7160,7160,119.3333333,119.3333333,2018/2/26,2017/8/9,201,2.01803E+13
110000,23008618,18335639,1.11103E+12,3,2,3,500,3530,2990,392.2222222,332.2222222,2018/3/12,2017/7/29,226,2.01803E+13
110000,23008617,18335686,1.11103E+12,3,2,3,500,2390,2390,239,239,2018/3/10,2017/5/25,289,2.01803E+13
110000,23008617,18335686,1.11103E+12,2,1,3,500,5860,5860,104.6428571,104.6428571,2018/2/27,2017/8/11,200,2.01803E+13
110000,23008613,18335641,1.11103E+12,3,2,3,500,2690,2690,298.8888889,298.8888889,2018/3/3,2017/8/24,191,2.01803E+13
110000,23008629,611100595,1.11106E+12,2,1,3,500,4800,4800,50.52631579,50.52631579,2018/3/12,2017/8/12,212,2.01803E+13
110000,23008629,18335750,1.11103E+12,1,1,3,500,3560,3560,114.8387097,114.8387097,2018/1/13,2017/1/2,376,2.01803E+13
110000,23008618,18335757,1.11103E+12,1,1,3,500,5490,5490,112.0408163,112.0408163,2018/1/12,2017/8/15,150,2.01803E+13
110000,23008618,18335640,1.11103E+12,1,1,3,500,4990,4990,110.8888889,110.8888889,2018/1/6,2017/8/11,148,2.01803E+13
110000,23008623,18335696,1.11103E+12,2,1,3,500,4200,4200,95.45454545,95.45454545,2018/2/3,2017/8/17,170,2.01803E+13
110000,23008613,18335729,1.11103E+12,1,1,3,500,6760,6760,120.7142857,120.7142857,2018/2/23,2017/8/18,189,2.01803E+13
110000,23008617,18335682,1.11103E+12,1,1,3,500,5230,5230,111.2765957,111.2765957,2018/2/26,2017/8/11,199,2.01803E+13
