hdic_resblock_id,rent_type,n,mean_price
1.11103E+12,1,2,123.7903226
1.11103E+12,2,1,260
1.11103E+12,1,1,113.1034483
1.11103E+12,1,1,167.2340426
1.11103E+12,2,3,450.2222222
1.11103E+12,1,3,100.9395833
1.11103E+12,2,7,239.6676671
1.11103E+12,1,1,97.32758621
1.11103E+12,2,2,352.2272727
1.11103E+12,2,5,207.1045796
1.11103E+12,1,2,104.5260417
1.11103E+12,2,14,290.1824366
1.11103E+12,1,1,145.6756757
1.11103E+12,2,5,242.3621212
1.11103E+12,1,1,110
1.11103E+12,1,3,108.8492063
1.11103E+12,1,1,167.3529412
1.11103E+12,2,6,299.7777778
1.11103E+12,2,2,249.5833333
1.11103E+12,2,2,271.7171717
1.11103E+12,1,1,94.50704225
1.11103E+12,2,5,230.9168657
1.11103E+12,1,1,131.372549
1.11103E+12,1,7,53.07361145
1.11103E+12,2,14,130.8978558
1.11103E+12,1,2,123.2705795
1.11103E+12,1,4,122.0972222
1.11103E+12,2,1,427.1428571
1.11103E+12,1,2,55.49295775
1.11103E+12,2,1,138.4210526
1.11103E+12,2,3,247.6039886
1.11103E+12,1,2,124.6897275
1.11103E+12,2,6,309.9511785
1.11103E+12,2,3,209.6296296
1.11103E+12,1,1,97.08333333
1.11103E+12,2,2,210.1388889
1.11103E+12,1,1,126.4814815
1.11103E+12,2,7,291.008658
1.11103E+12,1,2,145.7938596
1.11103E+12,2,13,304.5351586
1.11103E+12,1,3,62.90619607
1.11103E+12,2,3,137.8015873
1.11103E+12,1,1,106.2105263
1.11103E+12,2,3,328.1481481
1.11103E+12,1,1,126.1764706
1.11103E+12,1,2,129.5392433
1.11103E+12,1,3,118.3135198
1.11103E+12,2,4,268.877451
1.11103E+12,1,1,150.9756098
1.11103E+12,2,3,250.0569801
1.11103E+12,1,2,135.4936204
1.11103E+12,2,1,345
1.11103E+12,1,1,109.8701299
1.11103E+12,2,1,163.8461538
1.11103E+12,1,1,77.57142857
1.11103E+12,1,1,106.9230769
1.11103E+12,2,1,166.25
1.11103E+12,1,1,67.25490196
1.11103E+12,2,4,130.1798202
1.11103E+12,1,1,99.21568627
1.11103E+12,1,3,71.34107468
1.11103E+12,2,2,140.7670455
1.11103E+12,1,1,157.5609756
1.11103E+12,2,2,305.9166667
1.11103E+12,1,1,111.5789474
1.11103E+12,2,20,254.7362712
1.11103E+12,1,1,110.8219178
1.11103E+12,2,2,347.2777778
1.11103E+12,1,4,140.4702728
1.11103E+12,2,3,368.452381
1.11103E+12,1,1,135.4761905
1.11103E+12,2,2,299.25
1.11103E+12,1,3,142.7723749
1.11103E+12,1,1,140.9803922
1.11103E+12,1,4,112.468661
1.11103E+12,2,1,340.7692308
1.11103E+12,2,3,276.9848485
